assetId,sourceCategory,runtimeFilename,runtimeBytes,triangleCount,materialCount,textureCount,duplicateStatus,matchedWith
cupboard_023,cupboard,runtime-assets/cupboard_023.glb,7024,60,1,1,metric_near_duplicate_candidate,cupboard_018
cupboard_024,cupboard,runtime-assets/cupboard_024.glb,85384,1212,2,1,metric_near_duplicate_candidate,cupboard_022
cupboard_025,cupboard,runtime-assets/cupboard_025.glb,11668,172,1,1,intentional_variant,
cupboard_038,cupboard,runtime-assets/cupboard_038.glb,88696,106,2,2,intentional_variant,
cupboard_059,cupboard,runtime-assets/cupboard_059.glb,235464,154,2,3,intentional_variant,
cupboard_069,cupboard,runtime-assets/cupboard_069.glb,221468,192,2,3,intentional_variant,
cupboard_070,cupboard,runtime-assets/cupboard_070.glb,212352,192,2,3,intentional_variant,
cupboard_082,cupboard,runtime-assets/cupboard_082.glb,553032,822,5,6,metric_near_duplicate_candidate,cupboard_009
curtain_003,curtain,runtime-assets/curtain_003.glb,7068,132,1,1,metric_near_duplicate_candidate,curtain_004
curtain_004,curtain,runtime-assets/curtain_004.glb,7068,132,1,1,metric_near_duplicate_candidate,curtain_003
curtain_005,curtain,runtime-assets/curtain_005.glb,23336,764,2,1,metric_near_duplicate_candidate,curtain_008
curtain_006,curtain,runtime-assets/curtain_006.glb,26520,872,2,1,metric_near_duplicate_candidate,curtain_030
curtain_007,curtain,runtime-assets/curtain_007.glb,7068,132,1,1,metric_near_duplicate_candidate,curtain_003
curtain_008,curtain,runtime-assets/curtain_008.glb,23340,764,2,1,metric_near_duplicate_candidate,curtain_005
curtain_009,curtain,runtime-assets/curtain_009.glb,23380,764,2,1,metric_near_duplicate_candidate,curtain_005
curtain_010,curtain,runtime-assets/curtain_010.glb,23484,764,2,1,metric_near_duplicate_candidate,curtain_005
curtain_011,curtain,runtime-assets/curtain_011.glb,23524,764,2,1,metric_near_duplicate_candidate,curtain_005
curtain_012,curtain,runtime-assets/curtain_012.glb,35708,760,1,1,intentional_variant,
curtain_014,curtain,runtime-assets/curtain_014.glb,25904,540,1,1,intentional_variant,
curtain_015,curtain,runtime-assets/curtain_015.glb,18064,364,1,1,intentional_variant,
curtain_030,curtain,runtime-assets/curtain_030.glb,26484,872,2,1,metric_near_duplicate_candidate,curtain_006
curtain_031,curtain,runtime-assets/curtain_031.glb,26520,872,2,1,metric_near_duplicate_candidate,curtain_006
curtain_032,curtain,runtime-assets/curtain_032.glb,227688,132,1,2,intentional_variant,
curtain_033,curtain,runtime-assets/curtain_033.glb,23484,764,2,1,metric_near_duplicate_candidate,curtain_005
curtain_034,curtain,runtime-assets/curtain_034.glb,23524,764,2,1,metric_near_duplicate_candidate,curtain_005
curtain_035,curtain,runtime-assets/curtain_035.glb,7068,132,1,1,metric_near_duplicate_candidate,curtain_003
curtain_044,curtain,runtime-assets/curtain_044.glb,26484,872,2,1,metric_near_duplicate_candidate,curtain_006
curtain_045,curtain,runtime-assets/curtain_045.glb,26520,872,2,1,metric_near_duplicate_candidate,curtain_006
curtain_047,curtain,runtime-assets/curtain_047.glb,23340,764,2,1,metric_near_duplicate_candidate,curtain_005
curtain_048,curtain,runtime-assets/curtain_048.glb,23380,764,2,1,metric_near_duplicate_candidate,curtain_005
curtain_049,curtain,runtime-assets/curtain_049.glb,7068,132,1,1,metric_near_duplicate_candidate,curtain_003
curtain_050,curtain,runtime-assets/curtain_050.glb,7068,132,1,1,metric_near_duplicate_candidate,curtain_003
curtain_067,curtain,runtime-assets/curtain_067.glb,23336,764,2,1,metric_near_duplicate_candidate,curtain_005
curtain_074,curtain,runtime-assets/curtain_074.glb,19104,364,2,1,intentional_variant,
curtain_076,curtain,runtime-assets/curtain_076.glb,36456,760,2,1,intentional_variant,
curtain_077,curtain,runtime-assets/curtain_077.glb,26816,540,2,1,intentional_variant,
curtain_085,curtain,runtime-assets/curtain_085.glb,13344,444,1,1,intentional_variant,
door,door,runtime-assets/door.glb,193756,316,3,3,intentional_variant,
door_027,door,runtime-assets/door_027.glb,225780,28,1,2,metric_near_duplicate_candidate,door_036
door_028,door,runtime-assets/door_028.glb,237688,204,2,3,metric_near_duplicate_candidate,door_037
door_029,door,runtime-assets/door_029.glb,4876,24,1,1,metric_near_duplicate_candidate,door_053
door_030,door,runtime-assets/door_030.glb,5104,30,1,1,metric_near_duplicate_candidate,door_039
door_031,door,runtime-assets/door_031.glb,177612,30,1,2,metric_near_duplicate_candidate,door_052
door_032,door,runtime-assets/door_032.glb,201280,428,3,3,intentional_variant,
door_033,door,runtime-assets/door_033.glb,222720,204,2,3,intentional_variant,
door_034,door,runtime-assets/door_034.glb,201744,28,1,2,intentional_variant,
door_035,door,runtime-assets/door_035.glb,213604,204,2,3,intentional_variant,
door_036,door,runtime-assets/door_036.glb,227828,28,1,2,metric_near_duplicate_candidate,door_027
door_037,door,runtime-assets/door_037.glb,239736,204,2,3,metric_near_duplicate_candidate,door_028
door_038,door,runtime-assets/door_038.glb,24940,428,3,1,metric_near_duplicate_candidate,door_040
door_039,door,runtime-assets/door_039.glb,5108,30,1,1,metric_near_duplicate_candidate,door_030
door_040,door,runtime-assets/door_040.glb,24940,428,3,1,metric_near_duplicate_candidate,door_038
door_041,door,runtime-assets/door_041.glb,5108,30,1,1,metric_near_duplicate_candidate,door_030
door_042,door,runtime-assets/door_042.glb,191380,204,2,3,metric_near_duplicate_candidate,door_047
door_043,door,runtime-assets/door_043.glb,177660,28,1,2,intentional_variant,
door_044,door,runtime-assets/door_044.glb,179476,28,1,2,intentional_variant,
door_045,door,runtime-assets/door_045.glb,162296,204,2,3,intentional_variant,
door_046,door,runtime-assets/door_046.glb,221892,28,1,2,intentional_variant,
door_047,door,runtime-assets/door_047.glb,189524,204,2,3,metric_near_duplicate_candidate,door_042
door_048,door,runtime-assets/door_048.glb,150392,28,1,2,intentional_variant,
door_049,door,runtime-assets/door_049.glb,233752,204,2,3,intentional_variant,
door_050,door,runtime-assets/door_050.glb,210812,28,1,2,intentional_variant,
door_051,door,runtime-assets/door_051.glb,5104,30,1,1,metric_near_duplicate_candidate,door_030
door_052,door,runtime-assets/door_052.glb,177612,30,1,2,metric_near_duplicate_candidate,door_031
door_053,door,runtime-assets/door_053.glb,4876,24,1,1,metric_near_duplicate_candidate,door_029
door_054,door,runtime-assets/door_054.glb,177380,24,1,2,intentional_variant,
door_055,door,runtime-assets/door_055.glb,17800,316,2,1,metric_near_duplicate_candidate,door_059
door_056,door,runtime-assets/door_056.glb,15792,284,2,1,metric_near_duplicate_candidate,door_058
door_057,door,runtime-assets/door_057.glb,191104,284,2,3,intentional_variant,
door_058,door,runtime-assets/door_058.glb,15792,284,2,1,metric_near_duplicate_candidate,door_056
door_059,door,runtime-assets/door_059.glb,17800,316,2,1,metric_near_duplicate_candidate,door_055
dresser,dresser,runtime-assets/dresser.glb,13664,232,2,1,intentional_variant,
dresser_001,dresser,runtime-assets/dresser_001.glb,236988,272,1,2,intentional_variant,
dresser_002,dresser,runtime-assets/dresser_002.glb,428704,360,3,5,intentional_variant,
dresser_003,dresser,runtime-assets/dresser_003.glb,221948,232,2,3,intentional_variant,
dresser_004,dresser,runtime-assets/dresser_004.glb,862604,184,5,9,intentional_variant,
dresser_005,dresser,runtime-assets/dresser_005.glb,13472,168,2,1,intentional_variant,
dresser_006,dresser,runtime-assets/dresser_006.glb,8328,128,1,1,intentional_variant,
dresser_007,dresser,runtime-assets/dresser_007.glb,154732,130,1,2,intentional_variant,
dresser_008,dresser,runtime-assets/dresser_008.glb,226256,274,3,3,intentional_variant,
dresser_009,dresser,runtime-assets/dresser_009.glb,227772,174,1,2,intentional_variant,
dresser_010,dresser,runtime-assets/dresser_010.glb,37072,770,1,1,intentional_variant,
dresser_011,dresser,runtime-assets/dresser_011.glb,205916,670,3,3,intentional_variant,
dresser_012,dresser,runtime-assets/dresser_012.glb,238660,824,2,3,intentional_variant,
dresser_013,dresser,runtime-assets/dresser_013.glb,42820,924,2,1,intentional_variant,
dresser_014,dresser,runtime-assets/dresser_014.glb,244160,610,3,3,intentional_variant,
dresser_015,dresser,runtime-assets/dresser_015.glb,440400,168,3,5,intentional_variant,
dresser_016,dresser,runtime-assets/dresser_016.glb,247020,420,2,3,intentional_variant,
dresser_017,dresser,runtime-assets/dresser_017.glb,337364,112,3,5,intentional_variant,
dresser_018,dresser,runtime-assets/dresser_018.glb,230432,384,2,3,intentional_variant,
dresser_019,dresser,runtime-assets/dresser_019.glb,223732,228,2,3,intentional_variant,
dresser_020,dresser,runtime-assets/dresser_020.glb,227084,306,2,3,intentional_variant,
dresser_021,dresser,runtime-assets/dresser_021.glb,12248,194,2,1,intentional_variant,
